symbol,timestamp,open,high,low,close,volume,trade_count,vwap,rsi,label
AMZN,2024-01-22 05:00:00+00:00,156.89,157.05,153.9,154.78,43691258.0,428067.0,154.939621,58.78222205545814,0
AMZN,2024-01-23 05:00:00+00:00,154.85,156.21,153.93,156.02,37997601.0,353774.0,155.222861,61.28583127053512,0
AMZN,2024-01-24 05:00:00+00:00,157.8,158.51,156.48,156.87,48558946.0,435529.0,157.420484,62.94726916483218,0
AMZN,2024-01-25 05:00:00+00:00,156.95,158.505,154.5501,157.75,43669772.0,455447.0,157.156616,64.63920773114333,1
AMZN,2024-01-26 05:00:00+00:00,158.42,160.72,157.91,159.12,51047353.0,426676.0,159.215228,67.15382422248057,2
AMZN,2024-01-29 05:00:00+00:00,159.34,161.29,158.9,161.26,45270185.0,447371.0,160.201829,70.66327598409788,2
AMZN,2024-01-30 05:00:00+00:00,160.7,161.73,158.49,159.0,45207269.0,458711.0,159.704667,63.00692084581423,0
AMZN,2024-01-31 05:00:00+00:00,157.0,159.01,154.81,155.2,50285371.0,532783.0,156.319911,52.67277985708011,0
AMZN,2024-02-01 05:00:00+00:00,155.87,159.76,155.62,159.28,76542419.0,742980.0,158.117458,60.21744615076474,0
AMZN,2024-02-02 05:00:00+00:00,169.19,172.5,167.33,171.81,117218313.0,1134751.0,170.95679,73.9512640359939,1
AMZN,2024-02-05 05:00:00+00:00,170.2,170.55,167.7,170.31,55081297.0,572539.0,169.47561,70.80019477737095,1
AMZN,2024-02-06 05:00:00+00:00,169.39,170.71,167.65,169.15,42505518.0,406692.0,168.860782,68.37384308056431,0
AMZN,2024-02-07 05:00:00+00:00,169.48,170.88,168.94,170.53,47174060.0,452958.0,170.166338,69.70402198676534,0
AMZN,2024-02-08 05:00:00+00:00,169.65,171.43,168.88,169.84,42316454.0,399952.0,170.28298,68.16036699042836,1
AMZN,2024-02-09 05:00:00+00:00,170.9,175.0,170.5803,174.45,56985986.0,549269.0,173.428343,72.53645039850532,2
AMZN,2024-02-12 05:00:00+00:00,174.8,175.39,171.54,172.34,51050440.0,512028.0,173.324814,67.93418042366903,2
AMZN,2024-02-13 05:00:00+00:00,167.73,170.95,165.75,168.64,56345122.0,572688.0,168.879534,60.66541106397186,1
AMZN,2024-02-14 05:00:00+00:00,169.21,171.21,168.28,170.98,42815544.0,457093.0,169.986715,63.33717045653014,2
AMZN,2024-02-15 05:00:00+00:00,170.58,171.17,167.59,169.8,49855196.0,521440.0,169.398467,61.08396506260708,1
AMZN,2024-02-16 05:00:00+00:00,168.74,170.42,167.17,169.51,48107744.0,468195.0,169.157976,60.51419443786834,0
AMZN,2024-02-20 05:00:00+00:00,167.83,168.71,165.74,167.08,41980326.0,478320.0,166.831897,55.81606468316591,0
AMZN,2024-02-21 05:00:00+00:00,168.94,170.23,167.14,168.59,44575623.0,466026.0,168.536284,57.99824457493967,0
AMZN,2024-02-22 05:00:00+00:00,173.1,174.8,171.77,174.58,55392354.0,547144.0,173.582119,65.31616698170782,1
AMZN,2024-02-23 05:00:00+00:00,174.28,175.75,173.7,174.99,59715243.0,467172.0,174.747406,65.75595874149576,2
AMZN,2024-02-26 05:00:00+00:00,175.7,176.37,174.26,174.73,44368614.0,428536.0,174.994686,65.19143177120375,0
AMZN,2024-02-27 05:00:00+00:00,174.075,174.62,172.86,173.54,31143351.0,357540.0,173.731666,62.54476746786677,0
AMZN,2024-02-28 05:00:00+00:00,172.44,174.05,172.27,173.16,28180482.0,328701.0,173.377246,61.68357700926352,0
AMZN,2024-02-29 05:00:00+00:00,173.01,177.22,172.85,176.76,53805359.0,446966.0,175.675566,66.40322306720941,2
AMZN,2024-03-01 05:00:00+00:00,176.75,178.725,176.07,178.22,31981152.0,406700.0,177.861154,68.11836511445715,2
AMZN,2024-03-04 05:00:00+00:00,177.53,180.14,177.49,177.58,37381520.0,443556.0,178.604762,66.51535525110509,1
AMZN,2024-03-05 05:00:00+00:00,176.93,176.93,173.303,174.12,37228343.0,448860.0,174.462127,58.50022923923619,1
AMZN,2024-03-06 05:00:00+00:00,175.54,176.46,173.26,173.51,32090926.0,389497.0,174.337885,57.19176941497214,1
AMZN,2024-03-07 05:00:00+00:00,174.83,177.99,173.72,176.82,34063283.0,379859.0,176.45184,62.14016472504396,1
AMZN,2024-03-08 05:00:00+00:00,176.44,178.785,174.33,175.35,37893242.0,443161.0,176.245116,58.88469569108015,1
AMZN,2024-03-11 04:00:00+00:00,174.31,174.47,171.47,171.96,28484777.0,409871.0,172.423339,52.105311974832375,0
AMZN,2024-03-12 04:00:00+00:00,173.5,176.76,171.98,175.39,36610604.0,416722.0,175.32662,57.44392510880687,1
AMZN,2024-03-13 04:00:00+00:00,175.9,177.62,175.55,176.555,30772600.0,362923.0,176.746336,59.11103308188012,2
AMZN,2024-03-14 04:00:00+00:00,177.69,179.53,176.465,178.75,43705840.0,461845.0,178.40787,62.1218490910985,2
AMZN,2024-03-15 04:00:00+00:00,176.64,177.93,173.9,174.42,72222390.0,465353.0,175.149216,53.7187073803188,0
AMZN,2024-03-18 04:00:00+00:00,175.8,176.69,174.28,174.48,31250688.0,358797.0,175.112252,53.81194153927981,0
AMZN,2024-03-19 04:00:00+00:00,174.215,176.09,173.52,175.9,26880893.0,318062.0,175.385559,56.06761453453612,0
AMZN,2024-03-20 04:00:00+00:00,176.14,178.53,174.64,178.15,29947150.0,355615.0,176.648413,59.44707575227374,1
